UD_Afrikaans af
UD_Arabic ar
UD_Basque eu
UD_Belarusian be
UD_Bulgarian bg
UD_Catalan ca
UD_Chinese zh
UD_Croatian hr
UD_Czech cs
UD_Danish da
UD_Dutch nl
UD_English en
UD_Estonian et
UD_Finnish fi
UD_French fr
UD_Galician gl
UD_German de
UD_Greek el
UD_Hebrew he
UD_Hindi hi
UD_Hungarian hu
UD_Indonesian id
UD_Irish ga
UD_Italian it
UD_Japanese ja
UD_Korean ko
UD_Latin la
UD_Latvian lv
UD_Lithuanian lt
UD_Marathi mr
UD_Persian fa
UD_Polish pl
UD_Portuguese pt
UD_Romanian ro
UD_Russian ru
UD_Serbian sr
UD_Slovak sk
UD_Slovenian sl
UD_Spanish es
UD_Swedish sv
UD_Tamil ta
UD_Telugu te
UD_Turkish tr
UD_Ukrainian uk
UD_Urdu ur
UD_Vietnamese vi
